Name, Region, Type, Ownership, Location, Services, NHIS accredited
FIRST KLASS HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,KONONGO,General,yes
FOASE HEALTH CENTRE,Ashanti Region,health centre,overnment,FOASE,General,yes
FOCUS UTRASOUND SCAN,Ashanti Region,ULTRASOUND SCAN,RIVATE,GAUSO  MANSO ADUBIA  BOX 29,Ultra Sound Scan,yes
FOMENA HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,OPPOSITE DISTRICT ASSEMBLY,General,yes
FRANCIS BOBIE-ANSAH CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,AKROPONG ROUND ABOUT,Pharmacy,yes
FUMESUA GOVT MATERNITY HOME,Ashanti Region,HEALTH CENTRE,OVERNMENT,FUMESUA NEAR PRESBY CHURCH,General,yes
FUMSO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,FUMSO MARKET,General,yes
GABDYS DIAGNOSTIC CENTRE,Ashanti Region,DIAGNOSTIC CENTRE,RIVATE,JUASO HOSPITAL ROAD OPP GOVT HOSPITAL,Diagnostic,yes
GANSMENS CLINIC,Ashanti Region,CLINIC,RIVATE,BREMAN-NKONTWIMA PLT 81B,General,yes
GARDEN CITY HOSPITAL,Ashanti Region,primary hospital,rivate,asokore-mampong. near Kumasi Academy and Garden City Special school,general services  scan  ECG services  antenatal  pharmacy  laboratory  pediatrics  surgery,yes
GLADYS MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,MAIN KSI-OFFINSO ROAD OPPOSITE METHODIST CHURCH,Antenatal  Post-natal,yes
GLITZ PLUS PHARMACY,Ashanti Region,pharmacy,rivate,Odeneho Kwadaso,General services  pharmacy,no
GLOBAL EVANGELICAL MISSION HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,ISSION,ANWOMASO APROMASE BEHIND JHS,General,yes
GOD IS ABLE MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,SEPAASE  ABUAKWA OFF BIBIANI ROAD,Antenatal  Post-natal,yes
GOD'S GLORY CLINIC,Ashanti Region,PRIMARY HOSPITAL,RIVATE,BEHIND ODUEFO SPOT  KRONOM NEW SITE,General,yes
GODS GRACE MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,APUTUOGYA,Antenatal  Post-natal,yes
GOLDEN FINGERS HEALTHCARE,Ashanti Region,CLINIC,RIVATE,AHENEMA KOKOBEN,General,yes
GRACE KRAPAENAM MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,EJISU JUAEN RD/BEHIND QUEEN MOTHERS'S HSE,Antenatal  Post-natal,yes
GRACE MEDICAL LABORATORY,Ashanti Region,LABORATORY,RIVATE,AMANKYIM ROAD TUTUKA,Laboratory,yes
GRACE MEDICAL LABORATORY,Ashanti Region,LABORATORY,RIVATE,OLD TAFO  AHENBRONUM,Laboratory,yes
GRACELAND CLINIC,Ashanti Region,CLINIC,RIVATE,BREMAN DRIVE,General,yes
GRUMESA CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,GRUMESA,General,yes
GRUMESA CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,GRUMESA  BOX 12 NEW EDUBIASE,General,yes
GYAENESCAN CENTRE,Ashanti Region,ULTRASOUND,RIVATE,ATWIMA KWANWOMA RURAL BANK TAFO HIGH ST MILE 4,Ultra Sound Scan,yes
GYASIKROM CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,GYASIKROM,General,yes
GYERESO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,GYERESO,General,yes
HAPPY DAY MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,KRONOM KUMASI,Antenatal  Post-natal,yes
HEALTH FRONTIERS LTD,Ashanti Region,PHARMACY,RIVATE,BEKWAI,Pharmacy,yes
HI-TECH DIAGNOSTIC CENTER,Ashanti Region,ULTRASOUND,RIVATE,HES OLD TOWN (AHENBRONUM) N33 KONONGO,Ultra Sound Scan,yes
HOLY ROSARY MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,AHENBRONUM,Antenatal  Post-natal,yes
HOMAKO CHPS,Ashanti Region,CHPS COMPOUND,OVERNMENT,EJURA NKORANZ ARD,General,yes
HOMESCAN CLINIC,Ashanti Region,CLINIC,RIVATE,TAFO NEAR TAFO HOSPITAL,General,yes
HOSPITAL VIEW ULTRASOUND CENTRE,Ashanti Region,ULTRASOUND,RIVATE,ABUAKWA,Ultra Sound Scan,yes
HUMBLE MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,PLOT N0. 7 A KOKOBRA,Antenatal  Post-natal,yes
HWIDIEM CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,HWIDIEM,General,yes
HWIDIEM CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,HWIDIEM  BOX 12 NEW EDUBIASE,General,yes
IAMA ULTRASOUND SCAN,Ashanti Region,ULTRASOUND,RIVATE,AGRIC STATION,Ultra Sound Scan,yes
ICE FIELD INDUSTRIAL LTD,Ashanti Region,laboratory,rivate,Kumasi,general services  scan ECG services antenatal pharmacy laboratory pediatrics surgery dental eye services ,yes
INTEGRATED LABORATORY SERVICES,Ashanti Region,LABORATORY,RIVATE,KROFROM NEAR SANTOS PARK NEW BOLGA STATION,Laboratory,yes
ISAAC OFORI FRIMPONG CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,BEKWAI,Pharmacy,yes
J & D PHARMACY LTD,Ashanti Region,PHARMACY,RIVATE,OLD TAFO,Pharmacy,yes
JACHIE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,JACHIE LAKE RD NEAR POST OFFICE,General,yes
JAMASI H/C,Ashanti Region,HEALTH CENTRE,OVERNMENT,AGONA-MAMPONG TRUNK RD,General,yes
JANE SPEAKS A.M.E ZION MISSION HEALTH CENTER,Ashanti Region,HEALTH CENTRE,ISSION,AKUMADAN-AFRANCHO,General,yes
JEDUAKO CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,NEAR QUEEN MOTHER'S HOUSE  BOX 36  NSUTA ASHANTI,General,yes
JELOA MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,BUOHO NSUOM VULCANIZER,Antenatal  Post-natal,yes
JESUS CARE VOLUNTARY CENTRE,Ashanti Region,CLINIC,RIVATE,KUMAWU BESORO,General,yes
JESUS IS LORD MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,TIKROM-ANTOA ROAD,Antenatal  Post-natal,yes
JILF HEALTH SERVICES,Ashanti Region,PRIMARY HOSPITAL,RIVATE,ABRAFO KOKOBEN,General,yes
JOE LEWIS ACHEAMPONG CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,KRPFROM MAIN STREET,Pharmacy,yes
JOE SARB PHARMACY,Ashanti Region,PHARMACY,RIVATE,ADJACENT WESLEY METH CHURCH OLD TAFO,Pharmacy,yes
JOHN ANTWI BOSIAKO CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,NKENKAASU OPP OTUASEKAN RURAL BANK,Pharmacy,yes
JOMO MEDICAL CENTRE,Ashanti Region,PRIMARY HOSPITAL,RIVATE,PLT A BLK 27 BREMANG UGC,General,yes
JOMO ULTRASOUND CENTRE,Ashanti Region,ULTRASOUND,RIVATE,ADUM PAMPASO,Ultra Sound Scan,yes
JOPAUL CHEMIST,Ashanti Region,PHARMACY,RIVATE,ADJACENT CITY STYLE BUILDING AMAKOM,Pharmacy,yes
JOSEPH OWUSU SEKYERE CHEM SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,NEAR GIVT HOSPITAL BEKWAI,Pharmacy,yes
JOY MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,OFF DUMANAFO RD AND PRESBY CHURCH,Antenatal  Post-natal,yes
JUABEN GOVERNMENT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,OPPOSITE JUABEN OILMILLS,General,yes
JUANSA HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,JUANSA,General,yes
JUASO DISTRICT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,JUASO,General,yes
JULIPORNIA PHARMACY,Ashanti Region,PHARMACY,RIVATE,AYIGYA OPPOSITE KNUST HOSPITAL,Pharmacy,yes
JUST CARE PHARMACY LTD,Ashanti Region,PHARMACY,RIVATE,ATWIMA KOFORIDUA,Pharmacy,yes
K.A.K PHARMACY,Ashanti Region,PHARMACY,RIVATE,TECH JUNCTION,Pharmacy,yes
KAF CHEMIST LJMITED,Ashanti Region,PHARMACY,RIVATE,ABOABO NO. I CLOSE LINCENSE OFFICE. KUMASI  . O. BOX 4076 ABOABO,Pharmacy,yes
KAMA CLINIC LTD.,Ashanti Region,CLINIC,RIVATE,ANTOA ROAD,General,yes
KAMA GROUP GH. LTD. UST,Ashanti Region,PHARMACY,RIVATE,COMMERCIAL AREA STORE 7&8 KNUST,Pharmacy,yes
KAMA GROUP LTD OTB 499 KEJETIA,Ashanti Region,PHARMACY,RIVATE,NO. 1 ANTOA STREET KEJETIA KUMASI,Pharmacy,yes
KAMA PHARMACY-ADUM,Ashanti Region,PHARMACY,RIVATE,OTB 299 ADUM APIMPUA RD,Pharmacy,yes
KAMA PHARMACY-SUBIN,Ashanti Region,PHARMACY,RIVATE,KEJETIA KUMASI,Pharmacy,yes
KANBROS PHARMACY LTD,Ashanti Region,PHARMACY,RIVATE,16 PREMPEH  II ST,Pharmacy,yes
KEBIA MEDICAL DIAGNOSTIC SERVICES,Ashanti Region,DIAGNOSTIC CENTRE,RIVATE,TAFO 4 MILES-KUMASI,Diagnostic,yes
KEFAM HEALTH SERVICES,Ashanti Region,PRIMARY HOSPITAL,RIVATE,BUOKROM,General,yes
KENIAGO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,KENIAGO  C/O BOX 1,General,yes
KENIAGO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,KENIAGO,General,yes
KENYASE HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,KENYASE,General,yes
KEZIA MATERNITY HOME AND CLINIC,Ashanti Region,MATERNITY HOME,RIVATE,SEPE BUOKROM,Antenatal  Post-natal,yes
KINGS AND ROYALS PHARMACY,Ashanti Region,PHARMACY,RIVATE,OPPOSITE AGOGO POST OFFICE,Pharmacy,yes
KMA CLINIC,Ashanti Region,HEALTH CENTRE,OVERNMENT,KUMASI,General,yes
KNUST HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,overnment,KNUST KUMASI  BOX KNUST,General,yes
KOBI MEMORIAL PHARMACY,Ashanti Region,PHARMACY,RIVATE,MILE 4 OLD TAFO,Pharmacy,yes
KOFI SARPONG CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,ADJACENT METHODIST CHURCH,Pharmacy,yes
KOFIASE HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,KOFIASE NEAR PRESBY CHURCH,General,yes
KOMESO CHPS,Ashanti Region,CHPS COMPOUND,OVERNMENT,KOMESO,General,yes
KONA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,KONA,General,yes
KONONGO-ODUMASI GOVERNMENT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,KONONGO HIGH STREET,General,yes
KOSARP PHARMACY,Ashanti Region,PHARMACY,RIVATE,ALABAR (ODUMASE RD),Pharmacy,yes
KOTOKUOM HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,KOTOKUOM,General,yes
KROBO-DADIEASE HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,MAMPONG KOFIASE RD,General,yes
KROPO CHARITY HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,SUAME ANOMANYE JUNCTION,General,yes
KUFUOR CLINIC,Ashanti Region,CLINIC,RIVATE,PREMPEH 11 STREET ADUM,General,yes
KUMASI SOUTH HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,LAKE ROAD,General,yes
KUMAWU HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,KUMAWU,General,yes
KUNKA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,KUNKA DUNKWA JUNCTION,General,yes
KUNSU DOTIEM CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,KUNSU DOTIEM,General,yes
KUNTANASE GOV HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,NEAR KUNTANASE POLICE STAION,General,yes
KWABERE DISTRICT HOSPITAL  ASONOMASO,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,ASONOMASO,General,yes
KWACHARKO ENTERPRISE,Ashanti Region,CHEMICAL SHOP,RIVATE,TEPA,Pharmacy,yes
KWACHEAMPONG ENT,Ashanti Region,CHEMICAL SHOP,RIVATE,TEPA AROUND THE OLD POST OFFICE,Pharmacy,yes
KWAGYE KROM CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,OFFINSO,General,yes
KWAKWA AMPADU MEMORIAL CLINIC,Ashanti Region,CLINIC,RIVATE,ASH TOWN  BOX SE 1662 SUAME,General,yes
KWAMANG HEALTH CENTER  AFIGYA,Ashanti Region,HEALTH CENTRE,OVERNMENT,P.O.BOX 3  AFIGYA KWABRE,General,yes
KWAMANG HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,KWAMANG,General,yes
KWAMANG HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,OFF BOAMANG ROAD,General,yes
KWANWOMA CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,KWANWOMA,General,yes
KWASO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,VIA EJISU KUNTENASE RD,General,yes
KWIK SAVE PHARMACY,Ashanti Region,PHARMACY,RIVATE,AHINSAN ESTATE,Pharmacy,yes
KYEKYEWERE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,BEHIND MTN POLE,General,yes
KYEMPO EPI CENTER,Ashanti Region,CHPS COMPOUND,OVERNMENT,KYEMPO,General,yes
KYENKYENKURA CHPS,Ashanti Region,CHPS COMPOUND,OVERNMENT,KYENKYENKURA,General,yes
LIFE CHEMIST,Ashanti Region,PHARMACY,RIVATE,DICHEMSO,Pharmacy,yes
LIFE GEM PHARMACY,Ashanti Region,PHARMACY,RIVATE,DEDUAKO-EMENA RD VIA UST,Pharmacy,yes
LIVING WATERS MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,ODENEHO KWADASO NEAR STAR,Antenatal  Post-natal,yes
LUCY ASIHENE CLINIC & MATERNITY,Ashanti Region,clinic,rivate,New Tafo  Kumasi,general services  scan  antenatal  laboratory,yes
MAAME ROSE MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,AHWIAA OPPOSITE NNUAM,Antenatal  Post-natal,yes
MAAME SER MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,BOKRO-ATONSU,Antenatal  Post-natal,yes
MADONNA HEALTH SERVICES,Ashanti Region,PRIMARY HOSPITAL,RIVATE,PLOT 3 AND 3A (OFF SUNYANI ROAD),General,yes
MAJERO MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,BOHYEN,Antenatal  Post-natal,yes
MAMA TINA'S MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,KWAMO. KUMASI ACCRA RD,Antenatal  Post-natal,yes
MAMIE MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,D-26 BUOKROM ESTATE,Antenatal  Post-natal,yes
MAMPONTENG HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,MAMPONTENG,General,yes
MANFO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,MANFO SUBRISO RD,General,yes
MANHYIA DISTRICT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,MANHYIA AROUND ASANTEHENE'S PALACE,General,yes
MANKRANSO DISTRICT  HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,OPPOSITE DISTRCIT ASSEMBLY,General,yes
MANSO EDUBIA HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,MANSO EDUBIA,General,yes
MANSO NKRAN CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,MANSO NKRAN,General,yes
MANSO NKWANTA MATERNITY HOME,Ashanti Region,MATERNITY HOME,OVERNMENT,MANSO NKWANTA,Antenatal  Post-natal,yes
MARANATHA HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,BEHIND SDA PRI SCHOOL KWADASO,General,yes
MARBEN MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,JACOBU,Antenatal  Post-natal,yes
MARBOAH HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,NEAR NKOSOO FM,General,yes
MARTINDY DIAGNOSTIC CENTER,Ashanti Region,DIAGNOSTIC,RIVATE,AKROFUOM,Diagnostic,yes
MATER DEI CLINIC,Ashanti Region,PRIMARY HOSPITAL,RIVATE,SOUTH PATASI,General,yes
MATERNAL & CHILD HEALTH HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,NEAR KEJETIA PAMPASO,General,yes
MCKENZIE HEALTH SERVICES LTD,Ashanti Region,primary hospital,rivate,BLK L PLT 5  AHINSAN-ESTATE,General services  scan  ECG services  antenatal  pharmacy  laboratory  pediatrics  surgery,yes
MEDUMA CLINIC MATERNITY HOME,Ashanti Region,CLINIC,RIVATE,PLOT NO. 32 BLK A AHWIAA MEDUMA STATION ROAD,General,yes
MENSOMSO CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,MENSONSO,General,yes
MENSONSO CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,MENSONSO  BOX 12 NEW EDUBIASE,General,yes
METHODIST CLINIC BEBU AHYIAEM,Ashanti Region,HEALTH CENTRE,ISSION,BEBU AHYIAEM NEAR MARKET,General,yes
METHODIST CLINIC BRODEKWANO,Ashanti Region,HEALTH CENTRE,ISSION,BRODEKWANO,General,yes
METHODIST CLINIC  AMAKOM-LAKE BOSOMTWE,Ashanti Region,HEALTH CENTRE,ISSION,AMAKOM NEAR LAKE BOSOMTWE,General,yes
METHODIST CLINIC-ABURASO,Ashanti Region,HEALTH CENTRE,ISSION,ABURASO,General,yes
METHODIST CLINIC-NYAMEANI,Ashanti Region,HEALTH CENTRE,ISSION,NYAMEANI NEAR LAKE BOSOMTWI,General,yes
METHODIST CLINIC-SENCHI,Ashanti Region,HEALTH CENTRE,ISSION,SENCHI NEAR METHODIST CHURCH,General,yes
METHODIST FAITH HEALING HOSPITAL ANKAASE,Ashanti Region,PRIMARY HOSPITAL,ISSION,OPP MKT SQUARE ANKAASE A/KWABRE,General,yes
MILE 14 CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,MILE 14 FENAHIA,General,yes
MILLENNIUM CHARITY HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,KROMOASE NEW SITE,General,yes
MOONLIGHT PHARMACY,Ashanti Region,PHARMACY,RIVATE,BANTAMA HIGH STREET,Pharmacy,yes
MORSO CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,MORSO,General,yes
MOSHIE ZONGO CLINIC,Ashanti Region,CLINIC,RIVATE,MOSHIE ZONGO,General,yes
MOSHIE ZONGO CLINIC,Ashanti Region,HEALTH CENTRE,OVERNMENT,BEHIND ANYANO JHS  BOX 1908 KUMASI,General,yes
MOTHER OF GOD HEALTH CENTER  ESAASE BONTEFUFUO,Ashanti Region,HEALTH CENTRE,ISSION,ESSASE-BONTEFUFUO,General,yes
MOTHER OF JOHN MATERNITY,Ashanti Region,MATERNITY HOME,RIVATE,BARNIEKROM,Antenatal  Post-natal,yes
MOUNT SINAI HOSPITAL,Ashanti Region,CLINIC,RIVATE,PLT 76 KUMASI-SUNYANI ROAD.,General,yes
MPASAASO DOTIEM CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,MPASAASO DOTIEM,General,yes
MPASAASO HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,MPASASO,General,yes
MPOBI HEALTTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,MPOBI,General,yes
MPRANEASE CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,MPRANIASE,General,yes
MULTI CLINIC,Ashanti Region,CLINIC,RIVATE,PLOT 25 BLK 11 KUMASI MAMPONG RD,General,yes
MURAMURA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,MURAMURA,General,yes
MURONAM HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,MURANAM,General,yes
MY PARADISE CLINIC/MATERNITY HOSPITAL,Ashanti Region,clinic,rivate,ABOABO NO 1,general services  scan  antenatal pharmacy laboratory pediatrics    ,yes
NA-CHARL CLINIC,Ashanti Region,CLINIC,RIVATE,OLD BEKWAI ROAD,General,yes
NADAWOROMA CLINIC,Ashanti Region,CLINIC,RIVATE,NEWTOWN,General,yes
NANA AFUA KOBI HOSPITAL,Ashanti Region,CLINIC,RIVATE,NANA AFUA KOBI HOSPITAL BIEMSO 1,General,yes
NANA FREMA MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,NEAR THE SCHOOL,Antenatal  Post-natal,yes
NANCY POWELLS CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,TEBESO NO.2 BODWESANO RD,General,yes
NEG MEDICAL LABORATORY,Ashanti Region,LABORATORY,RIVATE,KOTEI- TWUMDUASE  P. O. BOX 4711  KUMASI,Laboratory,yes
NEIGHBOURHOOD HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,OBUASI,General,yes
NEW EDUBIASE GOVERNMENT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,NEW EDUBIASE NEAR CHIEF'S PALACE,General,yes
NEW LIFE MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,OFORIKROM,Antenatal  Post-natal,yes
NIMOH PHARMACY LTD.,Ashanti Region,PHARMACY,RIVATE,BANTAMA,Pharmacy,yes
NIPANKYEREMIA CHPS,Ashanti Region,CHPS COMPOUND,OVERNMENT,NIPANKYEREMIA,General,yes
NKAWIE CLINIC,Ashanti Region,CLINIC,RIVATE,NKWAWIE,General,yes
NKAWIE GOV T HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,NKAWIE MAIN RD NEAR FIRE SERVICE,General,yes
NKENKENSU GOVERNMENT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,NKENKAASU,General,yes
NNADIESO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,NNADIESO,General,yes
NOKWAREASA CHPS,Ashanti Region,CHPS COMPOUND,OVERNMENT,NAKWAREASA,General,yes
NOT BY MIGHT CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,AKYEREMADE MAIN STREET,Pharmacy,yes
NSUAEM CHPS ZONE,Ashanti Region,CHPS COMPOUND,OVERNMENT,NSUAEM BEHIND COCOA SHED,General,yes
NSUTA COMMUNITY CLINIC,Ashanti Region,chps compound,overnment,NSUTA NEAR MKT,General,yes
NSUTA HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,NSUTA,General,yes
NUMERESO CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,JACOBU  P.O.BOX 3  C/O DISTRICT HEALTH DIRECTORATE,General,yes
NUMERESO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,JACOBU,General,yes
NWENESO III CHPS,Ashanti Region,chps compound,overnment,BESIDES JHS,General,yes
NYAMA MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,NEAR ACHIASE SCH,Antenatal  Post-natal,yes
OBENEMASE CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,OBENIMASE TOWN  OFF KONONGO AGOGO ROAD,General,yes
OBENIMASE CHPS COMPOUND,Ashanti Region,chps compound,overnment,OBENIMASE TOWN  OFF KONONGO AGOGO ROAD  P. O. BOX 17  KONONGO,General,yes
OBOGU HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,OBOGU,General,yes
OBONSU CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,OBONSU,General,yes
OBONSU CHPS COMPOUND,Ashanti Region,CHPS COMPOUND,OVERNMENT,OBONSU  BOX 12 NEW EDUBIASE,General,yes
OBUASI  CLINIC AND DIAGNOSTIC CENTRE,Ashanti Region,CLINIC,RIVATE,COUNCIL ROAD,General,yes
OBUASI GOVERNMENT HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,MENSAHKROM RAMIA OBUASI,General,yes
OBUASI RIGDE HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,RIVATE,NO. 43 PLOT  BLOCK A. RIDGE,General,yes
OFFINSO HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,OFFINSO,General,yes
OFOASE HEALTH CENTRE,Ashanti Region,HEALTH CENTRE,OVERNMENT,OFOASE,General,yes
OFORIKROM HOSPITAL LTD,Ashanti Region,PRIMARY HOSPITAL,RIVATE,STC RD OFORIKROM,General,yes
OKAIKROM HEALTH CENTER,Ashanti Region,HEALTH CENTRE,OVERNMENT,SENCHI WURAPONSU RD,General,yes
OKU CATHOLIC CLINIC,Ashanti Region,HEALTH CENTRE,ISSION,AFRAM PLAINS,General,yes
ONWE GOVT. HOSPITAL,Ashanti Region,PRIMARY HOSPITAL,OVERNMENT,EJISU ONWE,General,yes
ONYAME AKWAN MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,MPATUOM,Antenatal  Post-natal,yes
OPOKU MENSAH LICENSED CHEMICAL SELLER,Ashanti Region,CHEMICAL SHOP,RIVATE,ETIA HIGH STREET,Pharmacy,yes
ORISTA CHEMIST,Ashanti Region,PHARMACY,RIVATE,EJURA NEW COMMUNITY CENTRE,Pharmacy,yes
OSU PHARMA LTD,Ashanti Region,PHARMACY,RIVATE,NEW EDUBIASE HIGH ST,Pharmacy,yes
OWUSU FRIMPONG CHEM SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,HNO. BR2 WIAMOASE,Pharmacy,yes
OWUSU NKRUMAH ISAAC LICENSED CHEMICAL SHOP,Ashanti Region,CHEMICAL SHOP,RIVATE,HSE NO. T66 TUNSUOM MAMPONG ASH,Pharmacy,yes
OWUSUWAA MEMORIAL MATERNITY HOME,Ashanti Region,MATERNITY HOME,RIVATE,ON ASOKORE MAMPONG ROAD,Antenatal  Post-natal,yes
P.A. DIAGNOSTIC CENTRE,Ashanti Region,DIAGNOSTIC CENTRE,RIVATE,MAMPONG MAIN ROAD,Diagnostic,yes
PAKS HOSPITAL,Ashanti Region,primary hospital,rivate,Kwadwo,General services  scan  surgery,no
PALB PHARMACEUTICALS LTD,Ashanti Region,PHARMACY,RIVATE,H/NO. 29 BLK J NORTH PATASI,Pharmacy,yes
PANACEA PHARMACY,Ashanti Region,PHARMACY,RIVATE,PLOT 24 BLK A KWAMO EJISU JUABENG,Pharmacy,yes
PARADISE CLINIC,Ashanti Region,CLINIC,RIVATE,ABOABO NO. 1,General,yes
